#Time 	 PotE 	 kT 	 vx 	 vy 	 vz
Time = 0.8000 	 PotE = -4123.97 	 kT = 1.9990 	 vx = -0.065943 	 vy = -0.059201 	 vz = 0.049689
Time = 0.8050 	 PotE = -4138.32 	 kT = 2.0282 	 vx = -0.013940 	 vy = -0.048678 	 vz = 0.051733
Time = 0.8100 	 PotE = -4140.46 	 kT = 2.0545 	 vx = -0.017628 	 vy = -0.020160 	 vz = 0.015781
Time = 0.8150 	 PotE = -4116.39 	 kT = 2.0307 	 vx = -0.044035 	 vy = -0.034440 	 vz = -0.015914
Time = 0.8200 	 PotE = -4085.52 	 kT = 2.0961 	 vx = -0.017570 	 vy = -0.046557 	 vz = -0.070447
Time = 0.8250 	 PotE = -4059.42 	 kT = 2.0857 	 vx = 0.001599 	 vy = -0.063233 	 vz = -0.019976
Time = 0.8300 	 PotE = -4049.06 	 kT = 2.0199 	 vx = 0.003076 	 vy = -0.018156 	 vz = -0.059780
Time = 0.8350 	 PotE = -4027.22 	 kT = 1.9681 	 vx = -0.067484 	 vy = 0.023632 	 vz = 0.007224
Time = 0.8400 	 PotE = -3995.22 	 kT = 1.9249 	 vx = 0.025474 	 vy = 0.091155 	 vz = 0.050448
Time = 0.8450 	 PotE = -3984.56 	 kT = 1.9386 	 vx = 0.020108 	 vy = 0.062546 	 vz = 0.010769
Time = 0.8500 	 PotE = -3979.19 	 kT = 2.0438 	 vx = 0.042505 	 vy = 0.047812 	 vz = -0.014308
Time = 0.8550 	 PotE = -3992.75 	 kT = 2.0578 	 vx = 0.055238 	 vy = 0.030991 	 vz = 0.063113
Time = 0.8600 	 PotE = -4017.80 	 kT = 2.1080 	 vx = -0.001102 	 vy = 0.051198 	 vz = 0.022491
Time = 0.8650 	 PotE = -4023.32 	 kT = 2.0185 	 vx = -0.035971 	 vy = 0.052479 	 vz = 0.053862
Time = 0.8700 	 PotE = -4027.03 	 kT = 2.0067 	 vx = -0.086356 	 vy = 0.020312 	 vz = 0.059014
Time = 0.8750 	 PotE = -4030.15 	 kT = 2.0235 	 vx = -0.048346 	 vy = 0.077762 	 vz = 0.016151
Time = 0.8800 	 PotE = -4038.07 	 kT = 2.0080 	 vx = -0.064894 	 vy = 0.082371 	 vz = 0.024002
Time = 0.8850 	 PotE = -4055.67 	 kT = 1.9503 	 vx = -0.001063 	 vy = 0.044931 	 vz = 0.046675
Time = 0.8900 	 PotE = -4068.18 	 kT = 1.9900 	 vx = -0.022592 	 vy = -0.054186 	 vz = 0.008493
Time = 0.8950 	 PotE = -4071.55 	 kT = 1.9571 	 vx = -0.051196 	 vy = -0.043145 	 vz = 0.008432
Time = 0.9000 	 PotE = -4042.59 	 kT = 1.9195 	 vx = -0.076171 	 vy = -0.031957 	 vz = 0.045978
Time = 0.9050 	 PotE = -4039.00 	 kT = 2.0444 	 vx = -0.043812 	 vy = 0.009448 	 vz = -0.070117
Time = 0.9100 	 PotE = -4026.07 	 kT = 2.0448 	 vx = -0.017518 	 vy = -0.019545 	 vz = -0.100145
Time = 0.9150 	 PotE = -4015.60 	 kT = 2.0383 	 vx = 0.027235 	 vy = -0.046052 	 vz = -0.027635
Time = 0.9200 	 PotE = -4032.34 	 kT = 2.0367 	 vx = 0.017227 	 vy = -0.033132 	 vz = -0.028244
Time = 0.9250 	 PotE = -4052.10 	 kT = 2.0095 	 vx = 0.002687 	 vy = -0.115930 	 vz = 0.001907
Time = 0.9300 	 PotE = -4078.88 	 kT = 2.0575 	 vx = -0.021814 	 vy = -0.134198 	 vz = 0.008432
Time = 0.9350 	 PotE = -4108.55 	 kT = 2.1080 	 vx = 0.018267 	 vy = -0.028556 	 vz = -0.034865
